Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,-0.5211342,0.5842909,-1.6916811,0.6025329,"[-1.6916811, 0.6025329]",76
z_age_days,0.0037911,0.0024085,-9.595e-4,0.0084926,"[-0.0009595, 0.0084926]",76
Intercept,-0.1165461,0.5258207,-1.1612753,0.8909533,"[-1.1612753, 0.8909533]",142
z_age_days,0.00196,0.0021492,-0.0021307,0.0062412,"[-0.0021307, 0.0062412]",142
Intercept,0.3860143,0.5836028,-0.7281448,1.5664747,"[-0.7281448, 1.5664747]",164
z_age_days,-3.16e-5,0.0023635,-0.0047423,0.0045721,"[-0.0047423, 0.0045721]",164
Intercept,0.8594398,0.5378618,-0.1840915,1.9103783,"[-0.1840915, 1.9103783]",54
z_age_days,-0.0020286,0.0022126,-0.0063905,0.0022706,"[-0.0063905, 0.0022706]",54
Intercept,-0.7241598,0.5582409,-1.7844184,0.3855996,"[-1.7844184, 0.3855996]",32
z_age_days,0.0045592,0.0023007,1.912e-4,0.0091595,"[0.0001912, 0.0091595]",32
Intercept,0.2189196,0.5791449,-0.9059283,1.3626863,"[-0.9059283, 1.3626863]",186
z_age_days,8.168e-4,0.0023563,-0.0037772,0.0054228,"[-0.0037772, 0.0054228]",186
Intercept,0.6484343,0.5687354,-0.439589,1.7917736,"[-0.439589, 1.7917736]",98
z_age_days,-0.0010967,0.0023274,-0.0056283,0.0035576,"[-0.0056283, 0.0035576]",98
Intercept,1.2708944,0.5324489,0.2030006,2.2896447,"[0.2030006, 2.2896447]",120
z_age_days,-0.0035773,0.0021661,-0.0077011,7.457e-4,"[-0.0077011, 0.0007457]",120
Intercept,0.1147798,0.5637733,-0.9348721,1.2714611,"[-0.9348721, 1.2714611]",77
z_age_days,0.0010889,0.0023365,-0.0035433,0.0055905,"[-0.0035433, 0.0055905]",77
Intercept,0.6342911,0.5409305,-0.4393611,1.6608095,"[-0.4393611, 1.6608095]",143
z_age_days,-0.0010216,0.0022235000000000002,-0.0052341,0.0034061,"[-0.0052341, 0.0034061]",143
Intercept,0.5135611,0.5406792,-0.5276693,1.5983917,"[-0.5276693, 1.5983917]",165
z_age_days,-4.012e-4,0.0021697,-0.0047264,0.0038234,"[-0.0047264, 0.0038234]",165
Intercept,0.1534792,0.5971006,-0.9846011,1.3522257,"[-0.9846011, 1.3522257]",55
z_age_days,0.0011505,0.0024101,-0.0038697,0.0056076,"[-0.0038697, 0.0056076]",55
Intercept,0.3505647,0.5281813,-0.6485129,1.4171805,"[-0.6485129, 1.4171805]",33
z_age_days,1.791e-4,0.0021847,-0.0041289,0.0044403,"[-0.0041289, 0.0044403]",33
Intercept,0.7328044,0.5522072,-0.3400251,1.819243,"[-0.3400251, 1.819243]",99
z_age_days,-0.0013237,0.0022716,-0.0057596,0.003124,"[-0.0057596, 0.003124]",99
Intercept,0.3063376,0.5496229,-0.7489836,1.4063128,"[-0.7489836, 1.4063128]",187
z_age_days,3.341e-4,0.0023311,-0.0043029,0.0047964,"[-0.0043029, 0.0047964]",187
Intercept,0.9013944,0.5133987,-0.1073399,1.9076493,"[-0.1073399, 1.9076493]",78
z_age_days,-0.0020945,0.002115,-0.0062163,0.0021142,"[-0.0062163, 0.0021142]",78
Intercept,0.1954665,0.5249934,-0.8244555,1.2310867,"[-0.8244555, 1.2310867]",144
z_age_days,7.404e-4,0.0021724,-0.0035201,0.0049294,"[-0.0035201, 0.0049294]",144
