Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,-0.0788912,0.1058257,-0.2929994,0.1260739,"[-0.2929994, 0.1260739]",14
Intercept,0.6550853,0.0754743,0.5075321,0.8053691,"[0.5075321, 0.8053691]",224
z_age_days,0.0579675,0.1182933,-0.1757148,0.2889735,"[-0.1757148, 0.2889735]",224
Intercept,0.6098694,0.0727045,0.4694575,0.751979,"[0.4694575, 0.751979]",74
z_age_days,-0.1106846,0.1088663,-0.3255714,0.1020808,"[-0.3255714, 0.1020808]",74
Intercept,0.65127,0.0721298,0.5089968,0.7909569,"[0.5089968, 0.7909569]",134
z_age_days,0.1252677,0.1034133,-0.0805057,0.327285,"[-0.0805057, 0.327285]",134
Intercept,0.554423,0.0718884,0.4187666,0.6998306,"[0.4187666, 0.6998306]",104
z_age_days,0.0480032,0.1156118,-0.1747973,0.2751885,"[-0.1747973, 0.2751885]",104
Intercept,0.6050653,0.0726122,0.4595618,0.745045,"[0.4595618, 0.745045]",45
z_age_days,-0.0902905,0.1059376,-0.298624,0.1195287,"[-0.298624, 0.1195287]",45
Intercept,0.6264393,0.0771864,0.475198,0.7763219,"[0.475198, 0.7763219]",164
z_age_days,-0.0747677,0.1086715,-0.2955165,0.1356011,"[-0.2955165, 0.1356011]",164
Intercept,0.5743621,0.0725364,0.4350717,0.7167888,"[0.4350717, 0.7167888]",195
z_age_days,-0.0236734,0.1217475,-0.2592628,0.2249791,"[-0.2592628, 0.2249791]",195
Intercept,0.6503567,0.0784835,0.4896761,0.7979917,"[0.4896761, 0.7979917]",15
z_age_days,0.0365593,0.1193389,-0.1992715,0.2723101,"[-0.1992715, 0.2723101]",15
Intercept,0.5791388,0.0743544,0.4373869,0.7264606,"[0.4373869, 0.7264606]",225
z_age_days,0.1256301,0.1034247,-0.0791094,0.3259452,"[-0.0791094, 0.3259452]",225
Intercept,0.5988489,0.0811201,0.4345192,0.7510814,"[0.4345192, 0.7510814]",75
z_age_days,0.1653617,0.1103075,-0.0439911,0.3910004,"[-0.0439911, 0.3910004]",75
Intercept,0.560258,0.0745494,0.415591,0.7093944,"[0.415591, 0.7093944]",135
z_age_days,0.1378626,0.1079285,-0.0834857,0.3400197,"[-0.0834857, 0.3400197]",135
Intercept,0.5756209,0.074164,0.4330546,0.7220612,"[0.4330546, 0.7220612]",105
z_age_days,-0.1618813,0.1066709,-0.3720427,0.0445789,"[-0.3720427, 0.0445789]",105
Intercept,0.5425378,0.070933,0.409175,0.6859587,"[0.409175, 0.6859587]",46
z_age_days,0.0956389,0.1052608,-0.1107851,0.3029186,"[-0.1107851, 0.3029186]",46
Intercept,0.5133074,0.080788,0.357466,0.6718436,"[0.357466, 0.6718436]",196
z_age_days,0.0019256,0.1093252,-0.2194292,0.209771,"[-0.2194292, 0.209771]",196
Intercept,0.5374675,0.0738789,0.3936066,0.68369,"[0.3936066, 0.68369]",165
z_age_days,0.1558052,0.1085093,-0.0510639,0.3720672,"[-0.0510639, 0.3720672]",165
Intercept,0.60164550000000006,0.0795321,0.4434544,0.7560235,"[0.4434544, 0.7560235]",226
z_age_days,0.0462194,0.102355,-0.1542622,0.245296,"[-0.1542622, 0.245296]",226
Intercept,0.5854186,0.0721475,0.4440573,0.7238075,"[0.4440573, 0.7238075]",16
z_age_days,0.097741,0.115051,-0.1322714,0.320342,"[-0.1322714, 0.320342]",16
Intercept,0.6207485,0.0726048,0.4794189,0.7645624,"[0.4794189, 0.7645624]",76
z_age_days,-0.0553142,0.113377,-0.2753669,0.1685744,"[-0.2753669, 0.1685744]",76
Intercept,0.5928235,0.0720664,0.4508163,0.7359808,"[0.4508163, 0.7359808]",106
z_age_days,0.1388625,0.1031571,-0.0619114,0.3427485,"[-0.0619114, 0.3427485]",106
Intercept,0.6506746,0.0753843,0.5075404,0.8015407,"[0.5075404, 0.8015407]",136
z_age_days,0.1148342,0.1062253,-0.0976462,0.3193745,"[-0.0976462, 0.3193745]",136
Intercept,0.5962155,0.0746949,0.4479567,0.7426132,"[0.4479567, 0.7426132]",47
z_age_days,0.082202,0.1050379,-0.1243493,0.288811,"[-0.1243493, 0.288811]",47
Intercept,0.6362509,0.072386,0.4972545,0.7811773,"[0.4972545, 0.7811773]",166
z_age_days,0.0096701,0.1037243,-0.1923119,0.2161386,"[-0.1923119, 0.2161386]",166
Intercept,0.5508844,0.0774221,0.3997932,0.7030029,"[0.3997932, 0.7030029]",197
z_age_days,-0.0989089,0.1292975,-0.3537179,0.1573641,"[-0.3537179, 0.1573641]",197
Intercept,0.6661702,0.0736125,0.5238302,0.8116778,"[0.5238302, 0.8116778]",227
z_age_days,-0.0053569,0.1232496,-0.2489829,0.2346257,"[-0.2489829, 0.2346257]",227
Intercept,0.621113,0.0719245,0.4808656,0.7611846,"[0.4808656, 0.7611846]",17
z_age_days,-0.0076547,0.1093892,-0.219668,0.2134845,"[-0.219668, 0.2134845]",17
Intercept,0.5496898,0.073809,0.4032175,0.6927028,"[0.4032175, 0.6927028]",107
z_age_days,0.0396004,0.106708,-0.1691048,0.2494266,"[-0.1691048, 0.2494266]",107
Intercept,0.5935111,0.0730109,0.4445452,0.7318768,"[0.4445452, 0.7318768]",77
z_age_days,0.0606221,0.1422965,-0.2243513,0.3391555,"[-0.2243513, 0.3391555]",77
Intercept,0.5954619,0.0750477,0.4493314,0.7435105,"[0.4493314, 0.7435105]",137
z_age_days,0.0459218,0.1311644,-0.2194869,0.3023153,"[-0.2194869, 0.3023153]",137
Intercept,0.57262710000000006,0.0723165,0.4312236,0.7148865,"[0.4312236, 0.7148865]",48
z_age_days,-0.1525082,0.123695,-0.3929551,0.0963973,"[-0.3929551, 0.0963973]",48
Intercept,0.5755644,0.0724707,0.437415,0.7209148,"[0.437415, 0.7209148]",167
z_age_days,-0.1181215,0.1114738,-0.3322798,0.1044609,"[-0.3322798, 0.1044609]",167
